REGION;2010;2011;2012;2013;2014;2015;2016;2017;2018
Белгородская область;398361,4;507839,8;545517,2;569006,4;619677,7;693379,4;729083,8;785254,1;865979
Брянская область;147024;174211,8;207397,5;219502,8;242722,4;271782,5;281131;305258,9;328814
Владимирская область;224759,2;261222,6;286018,6;306641,4;328064,2;368489,2;393775,1;412942,7;440543
Воронежская область;346568,2;474973,9;563965,4;611720,4;717667,2;805969,6;817283;868290,6;943595,6
Ивановская область;109884,5;128905,4;136115;158228,7;151876,8;180517,5;178895,9;184807;197839,8
Калужская область;188601,3;234749;285256,6;292841;326459,5;339760,8;372345,1;415966,7;465987,5
Костромская область;98130,7;116629,8;130840,4;139015,9;146731,5;160579,8;158127,5;166945,3;180287,2
Курская область;193648,6;228851,4;248213,1;271542,5;298287,3;336999,4;362393,8;387309,8;428441,3
Липецкая область;248544,9;287816,8;293301,3;315685,4;398464,5;448994,3;483653,3;506340,5;580504
Московская область;1832867,3;2176795,3;2357081,9;2545951,5;2742886,1;3180924,6;3662299,8;3780063,1;4201768,8
Орловская область;106196,7;131198,2;146103,2;164797;178822,5;208237,9;215356,5;215146,6;230706,2
Рязанская область;179127,9;214142,6;253881,6;279286,5;295611,7;323131,8;334299,1;360932;383110,2
Смоленская область;154681,1;180811,5;201817;225887,1;234710,1;256706,8;263301,6;291483,4;312857
Тамбовская область;143902,4;173283,1;203331,5;236335,9;285656,5;317213,7;297740,2;298791,1;331631,2
Тверская область;219004,9;255073;268063,9;298669,2;316613,2;329616;361522,2;387524,9;441653,6
Тульская область;237629,2;279879,3;311240,3;348034,8;411122,3;477537,8;518687,2;556772,8;636133,7
Ярославская область;239644;286967,5;327279,6;362861,8;391462,8;443054,1;472344;511136,6;560577,9
г.Москва;8375863,8;9948772,8;10666870,5;11814897,4;12779525,7;13520862,9;14237751;15688281,4;17881516,2
Республика Карелия;120511,3;154953,7;160841,5;178636,2;191192,1;212049,5;231437,5;251835,7;280012,4
Республика Коми;353853;435959,3;479051,3;482329,9;484166,5;528403,4;547665,4;575652,1;665735,7
Архангельская область;372804,8;439116,8;472470,9;500095,1;542695,3;627698,1;680482,3;726004,8;819247
Вологодская область;262432,7;323067,9;355291,3;346227,6;387211,7;478893;477220,4;508767,7;582630,4
Калининградская область;195749,1;241004,8;265361,2;275885,8;314088,3;349818,6;385499,1;417287,1;460854,9
Ленинградская область;490303,7;581712;672066,9;678718,3;703325,6;849616,6;916452,6;963804,1;1104435,9
Мурманская область;233438,9;263811,7;283846,2;306578,7;328291,8;401582,7;432362,8;442609,6;482547,9
Новгородская область;127407,8;153419,7;170605,7;178818,1;209304,4;234075,7;243392,9;252650,2;262008
Псковская область;87066;100498,5;107547,5;114676,2;123825,6;135239,5;145554,1;151518,5;164228,5
г.Санкт-Петербург;1699486,4;2091914,3;2280426;2491423,3;2661210;3387417,7;3666017,9;3824577,7;4193489,5
Ненецкий АО;145928,3;165431,3;157067,1;173170,2;187009,8;227193,5;254851,6;258827,7;305213,6
Республика Дагестан;274354,2;330322,8;374710,3;452882,2;528131,3;569297,3;582901;591849,8;625063,4
Республика Ингушетия;19929,1;26858,9;37413,9;45766,7;51908,2;50091;52201,6;52708,4;55457,1
Кабардино-Балкарская Республика;77086,4;90594,5;106711,2;110971,5;116886;120528,8;135416,7;138345,6;145658,2
Карачаево-Черкесская Республика;43651,5;49252,1;58712,1;66106,6;65326,6;67482,7;71382,1;75645,8;77046,3
Республика Северная Осетия-Алания;75327,4;85876,7;97448,8;118637,5;125960,5;126051,2;125196,6;128161,1;130043,4
Чеченская Республика;70694,9;86623;102289,1;122402,8;148942,1;154401,4;169380,3;178943,5;193077,1
Ставропольский край;330790,8;396791,6;431753,4;480905,3;540796,8;621198,3;642895,3;663211;715511,4
Республика Адыгея;47194,5;56803,3;65300,4;70862,3;75622,5;84306;90384,1;99495,6;108417,6
Республика Калмыкия;24404,1;29318,7;35897,8;41165,9;46680,6;51958,5;61403,4;71358,4;73692,2
Краснодарский край;1028308,4;1244652,8;1459490,8;1662969,1;1784833,5;1933512,1;2076603,8;2227575,6;2344620,7
Астраханская область;144888,8;172616,6;209654,4;273917,1;296319,3;322303;346779,4;420601,7;553395,7
Волгоградская область;433473,7;508433,3;571516,1;607472,2;715409,6;740458;746794,8;772624,2;852028,6
Ростовская область;659667,4;765967,2;843560,3;917689,1;1007758,8;1189144;1283748,1;1352321,9;1446226,6
Республика Башкортостан;759203,3;941023,6;1149384,6;1163219;1260010,4;1316598,3;1337977,6;1410203,4;1673695,8
Республика Марий Эл;82374,4;97323,3;117201,1;125950,2;143396,1;171689,5;158716,7;166158,6;177728,7
Республика Мордовия;105343,8;119955,2;134315,6;148705,7;173872,7;180352,3;201715,7;215348,8;227287,6
Республика Татарстан;1001622,8;1305947;1437001;1551472,1;1661413,8;1867258,7;1933091,5;2139809,5;2469217,4
Удмуртская Республика;274578,1;335984;372782,7;405126,4;450548,9;517999,8;531855,8;552303,5;631118,3
Чувашская Республика;157704,6;188785,7;217821,1;223147,9;237447,2;251307;260565,7;275272,2;297774,1
Кировская область;172352;195269,5;208505,4;224152,3;254089,4;282191;293082,5;307058,7;332556,2
Нижегородская область;652805,9;770774;842195,5;925182;1009460,1;1104643,2;1160782,3;1261939,4;1367544
Оренбургская область;458145,4;553320,9;628563,6;717014,8;731277,7;774962,1;765333,3;823856,4;1000644
Пензенская область;172166,7;213401,2;239962,5;270436,8;295238,7;343328,6;348877;366719,7;400516,8
Пермский край;623116,8;840101,1;860342,7;880264,4;974192,9;1063780,3;1095969,4;1191441;1318472,7
Самарская область;695651,2;834149,3;937434,5;1048545,8;1149147,8;1264910,3;1270326,2;1349094,9;1510518,7
Саратовская область;376169,4;431028;478275,8;526178,9;566646,1;625176,9;643125,1;668592,8;712545,4
Ульяновская область;178235,4;223672,7;240556,1;265288,7;278808,2;304479,1;325284,2;333508,8;347854,1
Курганская область;117879,5;136325,1;146045,5;167037,9;170310,3;179436,3;189790,3;197754,8;213032,1
Свердловская область;1046600,1;1291019,1;1484879;1568655,2;1659783,9;1822835;1990836,7;2130909,8;2277576,3
Тюменская область (без Ханты-Мансийского авт.округа-Югра и Ямало-Ненецкого авт.округа);;706053;730636,8;845206,2;801467,4;905673,5;915904,7;1029135,2;1259423,2
Челябинская область;652865,5;774401;841972,3;882339,6;993900,6;1209242,7;1271133,1;1353119,5;1473727,8
Ханты-Мансийский автономный округ-Югра;1971870,5;2440432,6;2703558,8;2729122,4;2860498,9;3154058,7;3068148,5;3492525,1;4447475,7
Ямало-Ненецкий автономный округ;782214,9;966110,4;1191271,9;1375878,8;1633382,2;1791825,6;2025508,1;2453551,7;3083544,5
Республика Алтай;22393,7;26380,8;30444,6;33313,5;39191,9;42165,7;44264,7;44897,9;50566,8
Республика Бурятия;133525,6;153624,1;164737,8;176888,9;186492,9;202823,4;198230,1;201614,7;226134,7
Республика Тыва;30772,8;33398,9;37369,1;41298,7;45947,9;47289,6;52769,4;59446,3;68774
Республика Хакасия;96039,8;113088,1;130638,5;141850,5;158372,8;170413,1;196321,7;207531,3;235310,9
Алтайский край;302900,7;332117,8;368995,2;416110,3;446023,8;487903,3;501889,3;513463,9;549972,9
Красноярский край;1055525;1170827,3;1183228;1256934,1;1410719,9;1667041,1;1745743,2;1899226;2280025,9
Иркутская область;546141;634561,4;737971,6;805197,5;916317,5;1001717,6;1066420,7;1194672,4;1392934,8
Кемеровская область;625914,9;751198,4;718320,4;667950,5;752024;843345,4;865325,3;1058430,4;1241598,6
Новосибирская область;484141,3;598563,5;728154;817516,7;911219;1021642,9;1046879;1148427,6;1252258,7
Омская область;382620,4;451418,8;491507,6;551734;602605,1;618127,7;621502,8;650308,7;681619,5
Томская область;284676,7;333885,7;371472,9;402562,1;430266,8;471456,7;480156,3;510949,9;579363,4
Забайкальский край;166742,5;203869;223968,8;229239,4;234840,8;247666,2;277100,5;301050,5;326865,7
Республика Саха (Якутия);386825,1;486830,9;541306,8;570284,7;658140,4;747601,7;862694,6;916684,5;1084556,2
Приморский край;470679,2;549722,8;557489,3;577473,9;642423;717609,9;739244,3;776336,7;834023,4
Хабаровский край;353590,3;399594,2;437994,3;498067,2;539338,4;595792,3;627406,5;648395,1;710639,6
Амурская область;178689,6;225401,7;229407,1;210700,9;232053;277380,4;271096,5;270474,3;301069,4
Камчатский край;103123,2;114375,9;127412,7;133364;145761,3;175404,8;197067,5;201967,9;236483,5
Магаданская область;59619,7;72174,2;78417,9;88905,9;96936,8;125798,3;148387,2;156829,9;170723,4
Сахалинская область;487659,5;600247,9;641886,4;671743,6;799165,4;837495,2;748695,8;769248,7;1179668,7
Еврейская автономная область;31555,9;39467;42743,6;38428,7;41948,1;44554,8;46014,5;52747,9;55808,8
Чукотский автономный округ;38978,1;44757,6;45633,9;44466,9;57751,3;61735,5;67704,8;68242,6;78143,4
